Fitness - Violation
-244.01024299225094 - 1.0255368657824654E10
-390.1941543540129 - 2.0659796081771034E10
-257.9902373456681 - 2.1122800934121574E10
-287.5264372578722 - 1.7692693234243927E10
-279.5759972626884 - 2.943360498936258E10
-333.8806045536583 - 7.822725009550135E9
-245.35303203044253 - 1.8504853682742527E10
-306.8032140420372 - 1.2892047009132154E10
-259.8535184396142 - 9.071455990206474E9
-410.7023392771484 - 1.22898264316273E10
-323.0873906123891 - 1.4451946029332403E10
-291.43479879378594 - 1.439425474044114E10
-304.95085769302324 - 1.6922569968675636E10
-259.44519585909774 - 1.7267889949067207E10
-289.00891457076796 - 2.175425510080591E10
-304.92310469123385 - 1.5002803377656492E10
-284.25931201724825 - 2.0792532611422422E9
-291.49618135125525 - 2.167972789046002E10
-277.8518751050625 - 2.204213751764638E10
-305.9298226014463 - 1.449600366336839E10
-314.7962505974351 - 2.346088951705922E10
-239.27372204570497 - 1.0708562506213547E10
-311.71294860841954 - 1.7266071412479927E10
-252.300871512578 - 2.0969429445778748E10
-307.00900734703856 - 3.862172285280185E10
-280.0518022624366 - 5.662736193061383E9
-318.6303688415253 - 2.3160842891382866E10
-348.14543165799927 - 2.23652631485102E10
-280.1606502460488 - 1.0466281532965532E10
-296.4761445076558 - 1.8046509517503605E10
