Fitness - Violation
-237.33253848976133 - 1.24577262836161E10
-252.56008368115428 - 1.1442252369765581E10
-335.1366569052375 - 8.322133391420705E9
-310.9865025996895 - 1.6846606259961506E10
-302.36147062173154 - 1.858707388231826E10
-292.3621863829476 - 6.803386392445234E9
-306.65947958920486 - 2.329543878202232E10
-378.3026391965636 - 1.580180774861829E10
-277.4226329527719 - 1.8450322070449543E10
-323.1590142908537 - 2.2470424908678413E10
-289.14996278449905 - 9.336414175823061E9
-244.39458929546905 - 7.513526444867703E9
-308.5002990399379 - 1.0262283254531672E10
-276.25415636419933 - 2.0913766062612286E10
-350.5584997303662 - 1.312786491478489E10
-262.3861387098578 - 1.1933948708542492E10
-386.507804032634 - 2.455790319312906E10
-272.355229630897 - 1.2314363300514128E10
-340.29974154217933 - 1.5864063637496077E10
-279.8519941154221 - 2.3237357042938725E10
-261.3152440365998 - 1.5232694886203564E10
-252.1824834515503 - 8.816988036936478E9
-370.0860739236178 - 1.662935881599679E10
-241.28319331839702 - 1.5497974168642336E10
-272.5499788914748 - 1.0405758085892773E10
-277.31938618047695 - 9.215038313164537E9
-329.17679324227163 - 1.8151829222006958E10
-237.56438577139687 - 1.1367206939453857E10
-245.01262706387288 - 1.8696806643794918E10
-281.2063424757511 - 1.1767263324784834E10
