Fitness - Violation
-11922.074363785174 - 4.0261487260088706E12
-11370.682000414243 - 4.3522707551222095E12
-11694.95896011341 - 5.636551232736588E12
-10969.48652767691 - 3.4752121542722256E12
-11440.391507781176 - 3.383546977675315E12
-12182.836238470301 - 4.10814608171304E12
-11330.77117397126 - 3.674242639161894E12
-11425.151706348082 - 5.314902251697083E12
-12262.310830962399 - 3.81030402740379E12
-12985.597584732535 - 7.5705330256232295E12
-10895.821451231865 - 4.1994584149209067E12
-10876.846485141237 - 3.8394108891415244E12
-10592.050546995833 - 4.542647042395117E12
-11845.635342646616 - 4.020779138934826E12
-11275.178589160385 - 3.6272319450091133E12
-12387.122279327463 - 2.8100015480605376E12
-11064.462170739194 - 3.453054089053101E12
-11109.355939760819 - 3.8622479017894453E12
-11256.655595167678 - 5.111895444858176E12
-11120.036279134278 - 5.005935486874382E12
-11569.357969566965 - 4.733123643986969E12
-11882.221705167563 - 3.1130031442795864E12
-11252.534440568546 - 3.898750878218983E12
-12392.489104713948 - 4.442914474112281E12
-11366.376106662063 - 4.592095249934542E12
-13021.939023389436 - 5.597180075034613E12
-11717.630858195795 - 4.307027616147697E12
-12451.681456987671 - 3.4757599204786733E12
-12170.657852410937 - 4.542747337658427E12
-10881.755375193381 - 4.738865927801649E12
