Fitness : Violation : Position : Miscellaneous
0.0 : 0.0 : [0.0] : -0.749393115048131
0.0 : 0.0 : [0.0] : -0.7585497552581132
0.0 : 0.0 : [0.0] : -0.7519029247247321
0.0 : 0.0 : [0.0] : -0.7632045420982227
0.0 : 0.0 : [0.0] : -0.7454713505725704
0.0 : 0.0 : [0.0] : -0.7510521223178287
0.0 : 0.0 : [0.0] : -0.7515293148433585
0.0 : 0.0 : [0.0] : -0.7612444991763665
0.0 : 0.0 : [0.0] : -0.7462623289715278
0.0 : 0.0 : [0.0] : -0.7546021530679656
0.0 : 0.0 : [0.0] : -0.748074262105505
0.0 : 0.0 : [0.0] : -0.7456278183033304
0.0 : 0.0 : [0.0] : -0.7594493714582047
0.0 : 0.0 : [0.0] : -0.7500505970468972
0.0 : 0.0 : [0.0] : -0.7500345558694637
0.0 : 0.0 : [0.0] : -0.752749511413197
0.0 : 0.0 : [0.0] : -0.7445617983554723
0.0 : 0.0 : [0.0] : -0.7627671412707683
0.0 : 0.0 : [0.0] : -0.7478811217940198
0.0 : 0.0 : [0.0] : -0.7545508905799164
0.0 : 0.0 : [0.0] : -0.7544987659261666
0.0 : 0.0 : [0.0] : -0.7547409898570067
0.0 : 0.0 : [0.0] : -0.7566886169088345
0.0 : 0.0 : [0.0] : -0.7580816292511
0.0 : 0.0 : [0.0] : -0.7563917614155615
0.0 : 0.0 : [0.0] : -0.7584368144595792
0.0 : 0.0 : [0.0] : -0.74832517702233
0.0 : 0.0 : [0.0] : -0.7537871687940945
0.0 : 0.0 : [0.0] : -0.7541801418251823
0.0 : 0.0 : [0.0] : -0.7614197207741529
