Fitness : Violation : Position : Miscellaneous
0.0 : 0.0 : [0.0] : 0.3733
0.0 : 0.0 : [0.0] : 0.3773
0.0 : 0.0 : [0.0] : 0.3857
0.0 : 0.0 : [0.0] : 0.3754
0.0 : 0.0 : [0.0] : 0.3875
0.0 : 0.0 : [0.0] : 0.3769
0.0 : 0.0 : [0.0] : 0.3785
0.0 : 0.0 : [0.0] : 0.3813
0.0 : 0.0 : [0.0] : 0.3824
0.0 : 0.0 : [0.0] : 0.3736
0.0 : 0.0 : [0.0] : 0.3756
0.0 : 0.0 : [0.0] : 0.3757
0.0 : 0.0 : [0.0] : 0.3802
0.0 : 0.0 : [0.0] : 0.3786
0.0 : 0.0 : [0.0] : 0.3798
0.0 : 0.0 : [0.0] : 0.3824
0.0 : 0.0 : [0.0] : 0.3679
0.0 : 0.0 : [0.0] : 0.3826
0.0 : 0.0 : [0.0] : 0.3816
0.0 : 0.0 : [0.0] : 0.3751
0.0 : 0.0 : [0.0] : 0.3832
0.0 : 0.0 : [0.0] : 0.3744
0.0 : 0.0 : [0.0] : 0.3741
0.0 : 0.0 : [0.0] : 0.3731
0.0 : 0.0 : [0.0] : 0.383
0.0 : 0.0 : [0.0] : 0.3808
0.0 : 0.0 : [0.0] : 0.3664
0.0 : 0.0 : [0.0] : 0.3729
0.0 : 0.0 : [0.0] : 0.3819
0.0 : 0.0 : [0.0] : 0.3744
