Fitness : Violation : Position : Miscellaneous
0.0 : 0.0 : [0.0] : 0.528
0.0 : 0.0 : [0.0] : 0.467
0.0 : 0.0 : [0.0] : 0.489
0.0 : 0.0 : [0.0] : 0.5115
0.0 : 0.0 : [0.0] : 0.475
0.0 : 0.0 : [0.0] : 0.49
0.0 : 0.0 : [0.0] : 0.486
0.0 : 0.0 : [0.0] : 0.4675
0.0 : 0.0 : [0.0] : 0.481
0.0 : 0.0 : [0.0] : 0.484
0.0 : 0.0 : [0.0] : 0.5135
0.0 : 0.0 : [0.0] : 0.494
0.0 : 0.0 : [0.0] : 0.5685
0.0 : 0.0 : [0.0] : 0.5175
0.0 : 0.0 : [0.0] : 0.5045
0.0 : 0.0 : [0.0] : 0.5135
0.0 : 0.0 : [0.0] : 0.511
0.0 : 0.0 : [0.0] : 0.503
0.0 : 0.0 : [0.0] : 0.518
0.0 : 0.0 : [0.0] : 0.5525
0.0 : 0.0 : [0.0] : 0.5235
0.0 : 0.0 : [0.0] : 0.4785
0.0 : 0.0 : [0.0] : 0.4855
0.0 : 0.0 : [0.0] : 0.5075
0.0 : 0.0 : [0.0] : 0.4735
0.0 : 0.0 : [0.0] : 0.562
0.0 : 0.0 : [0.0] : 0.489
0.0 : 0.0 : [0.0] : 0.4615
0.0 : 0.0 : [0.0] : 0.544
0.0 : 0.0 : [0.0] : 0.5315
