Fitness : Violation : Position : Miscellaneous
0.0 : 0.0 : [0.0] : 0.0336
0.0 : 0.0 : [0.0] : 0.0859
0.0 : 0.0 : [0.0] : 0.1049
0.0 : 0.0 : [0.0] : 0.1182
0.0 : 0.0 : [0.0] : 0.0925
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.11535
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.06275
0.0 : 0.0 : [0.0] : 0.09285
0.0 : 0.0 : [0.0] : 0.0609
0.0 : 0.0 : [0.0] : 0.08695
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.14
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.05985
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.1184
0.0 : 0.0 : [0.0] : 0.09005
0.0 : 0.0 : [0.0] : 0.14195
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.0
0.0 : 0.0 : [0.0] : 0.0
